zombieid	zombie	age	sex	rurality	household	water	food	medication	tools	firstaid	sanitation	clothing	documents	water.person
29	Human	26	Female	Suburban	3	8	Food	No medication	No tools	First aid supplies	No sanitation	NA	NA	2.666667
30	Human	26	Female	Suburban	3	40	Food	Medication	No tools	First aid supplies	No sanitation	NA	NA	13.333333
...	...	...	...	...	...	...	...	...	...	...	...	...	...	...
171	Zombie	76	Male	Rural	4	8	No food	No medication	No tools	No first aid supplies	Sanitation	Clothing	Documents	2
172	Zombie	47	Male	Urban	4	8	No food	No medication	tools	No first aid supplies	No sanitation	Clothing	NA	2
173	Zombie	49	Male	Rural	5	0	No food	No medication	No tools	First aid supplies	No sanitation	Clothing	NA	0
174	Zombie	51	Male	Urban	2	0	No food	No medication	tools	First aid supplies	No sanitation	NA	NA	0
175	Zombie	54	Female	Urban	2	0	No food	No medication	No tools	No first aid supplies	No sanitation	NA	NA	0
176	Zombie	76	Female	Urban	2	8	No food	Medication	tools	No first aid supplies	Sanitation	Clothing	Documents	4
177	Zombie	56	Female	Suburban	2	8	No food	No medication	No tools	First aid supplies	No sanitation	NA	NA	4
178	Zombie	58	Female	Suburban	2	8	No food	No medication	No tools	First aid supplies	Sanitation	Clothing	Documents	4
179	Zombie	59	Female	Rural	3	0	No food	No medication	tools	No first aid supplies	No sanitation	Clothing	NA	0
180	Zombie	60	Female	Rural	2	0	No food	No medication	tools	No first aid supplies	Sanitation	Clothing	Documents	0
181	Zombie	62	Male	Urban	1	0	No food	No medication	No tools	First aid supplies	No sanitation	NA	NA	0
182	Zombie	67	Female	Urban	1	0	Food	Medication	No tools	First aid supplies	Sanitation	Clothing	Documents	0
183	Zombie	68	Male	Suburban	2	8	No food	No medication	No tools	No first aid supplies	No sanitation	Clothing	NA	4
184	Zombie	71	Male	Suburban	1	8	No food	No medication	tools	No first aid supplies	Sanitation	Clothing	NA	8
185	Zombie	71	Female	Urban	1	0	No food	No medication	tools	First aid supplies	No sanitation	NA	NA	0
186	Zombie	78	Male	Urban	1	0	No food	No medication	tools	First aid supplies	No sanitation	NA	NA	0
187	Zombie	18	Male	Urban	3	0	No food	No medication	No tools	No first aid supplies	Sanitation	Clothing	Documents	0
188	Zombie	21	Female	Urban	2	8	No food	No medication	tools	No first aid supplies	No sanitation	Clothing	NA	4
189	Zombie	32	Male	Urban	3	0	No food	No medication	No tools	First aid supplies	No sanitation	Clothing	NA	0
190	Zombie	41	Female	Rural	5	0	No food	No medication	tools	First aid supplies	No sanitation	Clothing	NA	0
191	Zombie	43	Female	Rural	5	0	No food	No medication	No tools	No first aid supplies	Sanitation	Clothing	Documents	0
192	Zombie	48	Female	Suburban	4	8	No food	No medication	No tools	No first aid supplies	No sanitation	NA	NA	2
193	Zombie	58	Male	Urban	1	0	Food	No medication	tools	First aid supplies	No sanitation	NA	NA	0
194	Zombie	65	Male	Urban	1	0	No food	No medication	tools	First aid supplies	No sanitation	NA	NA	0
195	Zombie	67	Female	Suburban	2	0	No food	No medication	No tools	No first aid supplies	No sanitation	NA	NA	0
196	Zombie	68	Male	Suburban	1	0	Food	No medication	No tools	No first aid supplies	Sanitation	Clothing	Documents	0
197	Zombie	71	Male	Suburban	1	8	No food	No medication	tools	First aid supplies	No sanitation	Clothing	NA	8
198	Zombie	76	Female	Urban	1	0	No food	No medication	tools	First aid supplies	Sanitation	Clothing	Documents	0
199	Zombie	82	Male	Urban	1	0	No food	No medication	No tools	No first aid supplies	No sanitation	NA	NA	0
200	Zombie	85	Male	Urban	1	0	No food	Medication	No tools	No first aid supplies	Sanitation	Clothing	NA	0
